"Location ID","Shift ID","Depth Top","Depth Base","Remarks"
"SB-21","","42.00","","Pulverized ANDESITE and CLAY from around 42 ft to 43 ft"
"SB-21","","20.75","","Initial drive in MC-4 was 50/4"""
"SB-21","","8.25","","Liquid Limit (LL) = 44, Plasticity Index (PI) = 9, Fines = 9.09 %"
"SB-21","","0.50","","pH = 3.62 (0 ft to 1 ft)"
"SB-21","","20.00","","@ 20.0' NATIVE CONTACT "
"SB-21","","45.75","","Initial drive in SS-8 was 50/3"""
"SB-21","","1.00","","Started drilling with water"
"SB-22","","12.00","","ANDESITE from around 12 ft bgs, @ 12.0' NATIVE CONTACT "
"SB-22","","17.50","","pH = 6.4 (15 ft to 20 ft)"
"SB-22","","22.50","","pH = 7.7 (20 ft to 25 ft)"
"SB-22","","2.50","","pH = 5.9 (0 ft to 5 ft)"
"SB-22","","5.75","","Liquid Limit (LL) = 42, Plasticity Index (PI) = 9, Fines = 19.9 %, DS"
"SB-22","","5.00","","Sample seems quite disturbed might not be usable  "
"SB-22","","3.25","","pH = 1.04 (2.5 ft to 4 ft)"
"SB-46","","30.75","","SS 8 caved in; driller reported, cleaning boring and retrying SS 8, Initial drive in SS-8 was 50/5"""
"SB-46","","35.75","","PP = 0.0 tsf, Water Content (WC) = 29.6 %, LL = 42, PI = 18, Fines = 58.55 %"
"SB-46","","17.50","","pH = 3.69 (15' to 20')"
"SB-46","","20.75","","WC = 27.7 %, Fines = 29.9 %, HC"
"SB-46","","10.00","","@ 10.0' NATIVE CONTACT"
"SB-46","","12.50","","pH = 3.74 (10' to 15')"
"SB-46","","47.50","","pH = 6.83 (45' to 50')"
"SB-46","","3.75","","pH = 3.52 (2.5' to 5')"
"SB-46","","8.25","","PP = 1.0 tsf"
"SB-46","","3.25","","PP = 1.0 tsf"
"SB-46","","42.50","","pH = 5.62 (40' to 45')"
"SB-46","","5.75","","Liquid Limit (LL) = 37, Plasticity Index (PI) = 11, Fines = 21.9 %"
"SB-46","","8.75","","pH = 3.85 (7.5' to 10')"
"SB-46","","15.75","","PP = 1.5 tsf"
"SB-46","","27.50","","pH = 4.09 (25' to 30')"
"SB-46","","40.75","","Water Content (WC) = 51.9 %, Gravel = 37.3 %, Gravel = 47.4 %, Fines = 15.3 %"
"SB-46","","6.25","","pH = 4.02 (5' to 7.5')"
"SB-46","","37.50","","pH = 5.02 (35' to 40')"
"SB-46","","1.25","","pH = 3.42 (0' to 2.5')"
"SB-46","","32.50","","pH = 4.27 (30' to 35')"
"SB-46","","22.50","","pH = 3.75 (20' to 25')"
"SB-39","","17.50","","pH = 4.20 (15' to 20')"
"SB-39","","35.75","","PP = 0.5 TSF, Water Content (WC) = 28.9 %"
"SB-39","","37.50","","pH = 5.01 (35' to 40')"
"SB-39","","47.50","","pH = 5.50 (45' to 50')"
"SB-39","","27.50","","pH = 3.18 (25' to 30')"
"SB-39","","10.75","","DS"
"SB-39","","8.25","","PP = 0.5 TSF"
"SB-39","","30.75","","Initial drive in MC-8 was 50/3"""
"SB-39","","8.75","","pH = 2.93 (7.5' to 10')"
"SB-39","","4.75","","pH = 3.17 (2.5' to 5'), Fines = 91.0 %"
"SB-39","","12.50","","pH = 3.19 (10' to 15')"
"SB-39","","25.75","","Gravel = 31.1 %, Sand = 55.9 %, Fines = 12.9 %"
"SB-39","","20.75","","Gravel = 53.9 %, Sand = 32.5 %, Fines = 13.6 %, WC = 11.4 %"
"SB-39","","22.50","","pH = 3.74 (20' to 25') "
"SB-39","","3.25","","PP = 2.0 TSF"
"SB-39","","45.75","","Initial drive in SS-11 was 50/3"""
"SB-39","","5.75","","Liquid Limit (LL) = 79, Plasticity Index (PI) = 31, UC"
"SB-39","","6.25","","pH = 3.18 (5' to 7.5')"
"SB-39","","22.00","","@ 22' NATIVE CONTACT "
"SB-39","","40.75","","Gravel = 26.6 %, Sand = 53.3 %, Fines = 20.2 %, WC = 67.3, HC"
"SB-39","","1.25","","pH = 3.08 (0' to 2.5')"
"SB-20","","5.75","","LL = 40, PI = 16, Fines = 53.85 %"
"SB-20","","0.00","","@ 0.0' NATIVE CONTACT "
"SB-20","","15.15","","Initial drive in SS-5 was 50/3"""
"SB-20","","10.20","","Initial drive in MC-4 was 50/5"""
"SB-20","","3.25","","PP =  1.0 tsf, WC = 22.1 %"
"SB-35","","0.00",""," pH = 5.90 (0ft to 2.5 ft)"
"SB-35","","25.75","","pH = 4.10 pH (25 ft to 26.5 ft)"
"SB-35","","23.00","","@ 23' NATIVE CONTACT"
"SB-35","","3.25","","pH = 3.87 (2.5 ft to 4 ft)"
"SB-35","","8.25","","PP = 1.0 TSF pH = 3.8 (7.5 ft to 9 ft), Water Content (WC) = 34.6 %"
"SB-35","","5.75","","pH = 3.38 (5 ft to 6.5 ft), Fines = 23.2 %"
"SB-35","","23.30","","@ 23.3' GW"
"SB-35","","12.50","","pH = 3.85 pH (10 ft to 15 ft)"
"SB-35","","20.75","","pH = 3.30 pH (20 ft to 21.5 ft), Fines = 20.1 %"
"SB-35","","35.75","","pH = 5.69 pH (35 ft to 36.5 ft), WC = 12.7 %, Gravel = 37.2 %, Sand = 40.1 %, Fines = 22.7 %"
"SB-35","","15.75","","pH = 3.62 pH (15 ft to 16.5 ft)"
"SB-10","","80.75","","PP = 3.5 - 4.5 tsf"
"SB-10","","110.25","","PP = 4.5 tsf"
"SB-10","","100.25","","PP = 4.5 tsf"
"SB-10","","35.75","","PP = 1.0 - 3.5 tsf"
"SB-10","","37.00","","Driller reported potential void between 36 ft to 39 ft  bgs based on loss of coring resistance and limited core recovery "
"SB-10","","85.75","","PP = 4.5 tsf"
"SB-10","","75.75","","PP = 4.5 tsf"
"SB-10","","90.75","","PP = 4.0 tsf, WC = 15.3 %, Su = 718 psf, DD = 113 pcf, UC"
"SB-10","","25.75","","LL = 32, PI = 12, Cc = 0.12, Cr = 0.03, CO"
"SB-10","","120.25","","PP = 4.5 tsf"
"SB-10","","3.25","","PP = 3.5 tsf"
"SB-10","","20.75","","PP = 2.5 tsf"
"SB-10","","15.00","","PP = 1.0 - 2.0 tsf"
"SB-10","","30.75","","PP = 1.0 tsf"
"SB-10","","8.25","","PP = 1.0 tsf"
"SB-10","","125.25","","PP = 4.5 tsf"
"SB-10","","95.75","","PP = 1.5 tsf"
"SB-10","","60.75","","PP = 2.5 - 4.5 tsf"
"SB-10","","55.75","","PP = 4.0 tsf"
"SB-10","","45.75","","PP = 1.0 - 1.5 tsf"
"SB-10","","70.75","","PP = 2.5 - 4.5 tsf, WC = 28.3%, DD = 90 pcf, Cc=0.16, Cr=0.04, CO"
"SB-10","","11.25","","LL= 39, PI= 14"
"SB-10","","25.00","","@ 25.0' NATIVE CONTACT "
"SB-10","","65.75","","PP = 1.5 - 4.5 tsf"
"SB-10","","5.75","","WC = 23.5%, DD = 85 pcf, Cc=0.19, Cr=0.02, Fines = 27.83 %, CO"
"SB-10","","50.75","","PP = 4.0 tsf, WC = 17.7 %, DD = 107 pcf, Cc=0.1, Cr =0.02, CO"
"SB-10","","40.75","","Gravel = 17.8 %, Sand = 42 %, Fines = 40.2 %"
"SB-37","","20.75","","LL = 46, PI = 17, Fines = 54.2 %, UC"
"SB-37","","55.75","","Initial drive in SS-11 was 50/1"""
"SB-37","","35.00","","Driller forgot to sample to at 35 ft bgs"
"SB-37","","51.00","","800 psi applied to shelby tube "
"SB-37","","0.00","","@ 0.0' NATIVE CONTACT "
"SB-37","","10.50","","Tests Performed: Hydraulic Conductivity (HC), WC = 53.0 %, Fines = 57 %"
"SB-37","","5.75","","Liquid Limit (LL) =56, Plasticity Index (PI) = 31, UC"
"SB-37","","8.25","","PP = 1.5 tsf, Initial drive in SS-3 was 50/2"""
"SB-37","","45.00","","Sample went through 2 ft down due to weight of rod (ROD). No sample taken at 45 ft bgs, soil is extremely soft, blow count is approx 0 "
"SB-37","","3.25","","PP = 2.0 tsf"
"SB-37","","15.75","","PP = 0.5 tsf"
"SB-36","","35.75","","pH = 2.49 (35 ft to 36.5 ft)"
"SB-36","","75.75","","Initial drive in SS-15 was 50/0"""
"SB-36","","55.75","","pH = 4.38 (55 ft to 56.5 ft)"
"SB-36","","55.00","","Drillers report boring caving in with slough on bottom, attempting to bail cave in material. Re-attempt to collect blowcount, weight of rod push to 18"", final blowcount: 1/18"" "
"SB-36","","40.00","","@ 40.0 NATIVE CONTACT "
"SB-36","","80.75","","Initial drive in SS-16 was 50/0"""
"SB-36","","10.75","","pH = 2.31 (10 ft to 11.5 ft)"
"SB-36","","20.75","","pH = 4.01 (20 ft to 21.5 ft), WC = 9.6 %, Fines = 17.32 %"
"SB-36","","26.00","","No recovery @ SS-7"
"SB-36","","45.75","","pH = 2.26 (45 ft to 46.5 ft), WC = 16.5 %"
"SB-36","","8.25","","PP = 2.0 TSF, pH = 1.67 (7.5 ft to 9 ft), Water Content (WC) = 20.6 %"
"SB-36","","3.25","","PP = 2.0 TSF, pH = 1.84 (2.5 ft to 4 ft)"
"SB-36","","40.75","","pH = 2.03 (40 ft to 41.5 ft) WC = 16.5 %, @ 40' NATIVE CONTACT"
"SB-36","","50.75","","pH = 3.29 (50 ft to 51.5 ft), WC = 18.9 %, Fines = 41.85 %"
"SB-36","","30.75","","pH = 3.88 (30 ft to 31.5 ft), WC = 24.9 %, Gravel = 52.9 %, Sand = 20.4 %, Fines = 26.8 %"
"SB-36","","15.75","","pH = 3.38 (15 ft to 16.5 ft)"
"SB-36","","5.00","","No recovery @ SS-2"
"SB-16","","20.75","","PP = 2.5 tsf"
"SB-16","","8.25","","PP = 2.0 tsf, WC = 26.2 %, Fines = 64.38 %"
"SB-16","","3.25","","PP = 4.5 tsf, WC =18.2 %, Fines = 49.05 %"
"SB-16","","15.75","","PP = 2.5 tsf"
"SB-16","","25.75","","PP = 4.0 tsf, WC = 12.7 %"
"SB-16","","5.00","","@ 5.0' NATIVE CONTACT "
"SB-16","","5.75","","PP = 4.5 tsf"
"SB-16","","10.75","","PP = 4.5 tsf"
"SB-4","","50.00","","Initial drive in SS-11 was 50/5"""
"SB-4","","70.00","","Initial drive in SS-13 was 50/2"""
"SB-4","","35.75","","Initial drive in SS-9 was 50/4"", pH = 4.03"
"SB-4","","30.75","","pH = 4.21 (30 ft to 31.5 ft)"
"SB-4","","10.75","","PP = 4.5 tsf, Gravel = 23.9 %, Sand = 50.9 %, Fines = 25.2 %"
"SB-4","","5.75","","PP = 4.5 tsf"
"SB-4","","15.75","","PP = 2.5 tsf, pH = 3.67 (15 ft to 16.5 ft)"
"SB-4","","25.75","","PP = 4.0 tsf, pH = 1.98 (25 ft to 26.5 ft)"
"SB-4","","3.25","","PP= 4.5 tsf, pH = 1.66 (2.5 ft to 4 ft), Liquid Limit (LL) = 34, Plasticity Index (PI) = 9, Gravel = 12.2 %, Sand = 36.3 %, Fines = 51.5 %"
"SB-4","","20.75","","PP = 2.5 tsf, Fines = 20.12 %"
"SB-4","","23.00","","@ 23' NATIVE CONTACT"
"SB-4","","8.25","","PP = 2.0 tsf, pH = 2.03 (7.5 ft to 9 ft)"
"SB-4","","75.00","","Initial drive in SS-14 was 50/0"""
"SB-43","","5.75","","PP = 1.0 tsf, WC = 13.6 %, Fines = 34.47 %"
"SB-43","","12.00","","@ 12.0' NATIVE CONTACT "
"SB-43","","20.75","","pH = 2.54 (20 ft to 21.5 ft), WC = 18.7 %, Gravel = 57.2 %, Sand = 32.0 %, Fines = 10.8 %"
"SB-43","","3.25","","pH = 2.17 (2.5 ft to 4 ft), Water Content (WC) = 13.4 %"
"SB-43","","8.25","","PP = 1.0 tsf, pH = 2.19 (7.5 ft to 9 ft), WC = 17.3 %"
"SB-43","","13.25","","WC = 27.6 %, Fines = 35.13 %"
"SB-43","","15.75","","pH = 2.49 (15 ft to 16.5 ft)"
"SB-12","","30.75","","PP = 4.5 tsf"
"SB-12","","3.25","","WC = 36.4 %, Gravel = 7.7 %, Sand = 59 %, Fines = 33.3 %"
"SB-12","","45.75","","PP = 2.5 tsf"
"SB-12","","26.00","","PP = 1.5 tsf"
"SB-12","","7.50","","@ 7.5' NATIVE CONTACT "
"SB-12","","8.25","","WC = 18.8 %"
"SB-12","","55.75","","PP = 4.5 tsf"
"SB-12","","80.75","","Initial drive in SS-17 was 50/2"", PP = 4.5 tsf"
"SB-12","","65.75","","PP = 4.5 tsf"
"SB-12","","35.75","","PP = 4.0 tsf"
"SB-12","","50.75","","PP = 3.5 tsf, WC = 19.1 %, Su = 1879 psf, DD = 110 pcf, UC"
"SB-12","","70.75","","PP = 4.5 tsf"
"SB-12","","60.75","","PP = 4.5 tsf, WC = 15.6 %"
"SB-12","","20.75","","Gravel = 59.4 %, Sand = 26.9 %, Fines = 13.7 %"
"SB-12","","40.75","","PP = 4.5 tsf, LL = 26, PI = 4"
"SB-12","","11.00","","yellow soil due to Sulphur "
"SB-12","","25.75","","LL = 32, PI = 11"
"SB-40","","30.00","","@ 30.0' NATIVE CONTACT"
"SB-40","","5.75","","Liquid Limit (LL) = 40, Plasticity Index (PI) = 15, Fines = 58.4 %, UC"
"SB-40","","42.50","","pH = 3.89 (40' to 45')"
"SB-40","","27.50","","pH = 4.17 (25' to 30')"
"SB-40","","50.75","","Initial drive in SS-12 was 50/3"""
"SB-40","","32.50","","pH = 3.57 (30' to 35')"
"SB-40","","8.75","","pH = 3.15 (7.5' to 10')"
"SB-40","","40.75","","Gravel = 42.4 %, Sand = 42.3 %, Fines = 15.3 %"
"SB-40","","8.25","","PP = 2.0 tsf"
"SB-40","","37.50","","pH = 3.95 (35' to 40')"
"SB-40","","3.75","","pH = 3.50 (2.5' to 5.0')"
"SB-40","","30.75","","Gravel = 29.7 %, Sand = 39.9 %, Fines = 30.4 %, WC = 39.4 %"
"SB-40","","22.50","","pH = 3.81 (20' to 25')"
"SB-40","","15.75","","PP = 2.5 tsf, Fines = 43 %, WC = 32.9 %"
"SB-40","","47.50","","pH = 3.81 (45' to 50')"
"SB-40","","3.25","","PP = 3.0 tsf"
"SB-40","","17.50","","pH = 3.27 (15' to 20')"
"SB-40","","12.50","","pH = 3.21 (10' to 15')"
"SB-40","","6.25","","pH = 3.57 (5.0' to 7.5')"
