"Non Component Description","Color Code","Type","Location ID","Shift ID","Depth Top","Depth Base","Description","Legend Code","Geology Code","Geology Code 2","Stratum Reference","Remarks","Soil Name","USCS","AASHTO","Consistency Min","Consistency Max","Density Min","Density Max","Color","Moisture","Plasticity","Soil Particle Size","Soil Particle Angularity","Additional Description","Geological formation","Rock Name Qualifier","Rock Name","Rock Grain Size","Bedding Min","Bedding Max","Weathering","Rock Hardness Min","Rock Hardness Conjunction","Rock Hardness Max","Fracture Spacing Min","Fracture Spacing Max","Boundary"
"","","Soil","SB-11","","41.50","50.00","Stiff, gray (10 YR 6/1), dry, fine to coarse sand, medium plasticity, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-32","","35.00","50.00","SANDY lean CLAY (CL), hard, light brownish gray (10 YR 6/2), dry, NATIVE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-21","","31.00","44.00","highly weathered, soft, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-3","","40.00","45.00"," (BEDROCK), hard, light brownish gray (2.5 YR 6/2), dry, friable, cemented, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-39","","40.00","45.00","CLAYEY SAND with GRAVEL (SC), very dense, very dark grayish brown (2.5 YR 3/2), wet, some GRAVEL, NATIVE","SC","","","","","","SC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-43","","2.50","5.00","medium dense, light gray (10 YR 7/2), fine to coarse SAND, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-44","","51.50","","Terminated @ 51.5 ft bgs as planned. GW not encountered. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Soil","SB-6A","","20.00","25.00","moist, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Rock","SB-19","","80.00","90.00"," wet, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-40","","35.00","40.00","Poorly graded SAND with GRAVEL (SP), very dense, very dark grayish brown (2.5 YR 4/2), wet, NATIVE","SP","","","","","","SP","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-36","","45.00","47.00","Very dense, very dark gray (2.5 YR 3/1), fine SAND, strong pungent odor, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-19","","30.00","35.00","moist, some ANDESITE GRAVELS AND COBBLES, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","","SB-15","","12.00","13.00","Potential void, ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-16","","2.50","7.50","CLAYEY SAND with GRAVEL (SC), medium dense, light grey (7.5 YR 7/1), dry, 49.05 % FINES, WASTE","SC","","","","","","SC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-13","","5.00","8.00","CLAYEY SAND (SC), medium dense, moist, brown (10 YR 5/1), WASTE","SC","","","","","","SC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-14","","20.00","22.00"," light brown (7.5 YR 6/3), angular GRAVEL with some COBBBLES, 50 % CLAY, 30 % SAND, < 15 GRAVEL, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-17","","10.00","25.00","SANDY lean CLAY (CL) greenish gray (GLEY5/1 10 GY), very hard, dry, medium plasticity, fine to coarse SAND, weakly cemented, NATIVE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-19","","25.00","50.00","SANDY lean CLAY (CL), stiff, damp, multicolored, mainly gray, medium plasticity, some fragments of pulverized ANDESITE, WASTE","CL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-20","","5.00","11.00","hard, wet, more GRAVEL, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-34","","43.00","50.00","IGNEOUS ROCK (ANDESITE), fresh, hard, BEDROCK","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-18","","0.00","4.30","CLAYEY SAND (SC) very dark gray (10 YR 3/1), dry, medium dense, fine SAND, some fines, very dark, few GRAVEL, WASTE","SC","","","","","","SC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Rock","SB-3","","47.50","50.00","IGNEOUS ROCK (ANDESITE) in native, quartz white layers, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-40","","20.00","23.00","Well graded SAND with CLAY and GRAVEL (SW-SC), very dense, brown (10 YR 5/3), dry to moist, WASTE","SW-SC","","","","","","SW-SC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-10","","5.00","7.00","Clayey Sand (SC), grayish brown, some fine SAND, WASTE","SC","","","","","","SC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-29","","5.00","10.00","SILT with GRAVEL (ML), yellowish brown (10 YR 5/4), dry, very stiff, low plasticity, no cementation, NATIVE","ML","","","","","","ML","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-42","","20.00","25.00"," light gray (10 YR 7/1), moist, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
