"Non Component Description","Color Code","Type","Location ID","Shift ID","Depth Top","Depth Base","Description","Legend Code","Geology Code","Geology Code 2","Stratum Reference","Remarks","Soil Name","USCS","AASHTO","Consistency Min","Consistency Max","Density Min","Density Max","Color","Moisture","Plasticity","Soil Particle Size","Soil Particle Angularity","Additional Description","Geological formation","Rock Name Qualifier","Rock Name","Rock Grain Size","Bedding Min","Bedding Max","Weathering","Rock Hardness Min","Rock Hardness Conjunction","Rock Hardness Max","Fracture Spacing Min","Fracture Spacing Max","Boundary"
"","","Soil","SB-24","","25.00","35.00","dry, gray (10 YR 5/1), low plasticity, ANDESITE fragments, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-4","","75.00","75.00","white quartz, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Soil","SB-35","","35.00","36.50","CLAYEY SAND with GRAVEL (SC), dense, NATIVE","SP","","","","","","SP","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","","SB-46","","51.30","","Terminated @ 51.3 ft bgs because of SPT and coring refusal. GW encountered @ 25.0 ft bgs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Rock","SB-17","","35.00","35.75","moderately weathered, moderately hard, BEDROCK ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-40","","47.00","50.20","Well graded GRAVEL (GW), very dense, very dark gray (10 YR 3/1), angular ANDESITE ROCK with coarse SANDS, NATIVE","GW","","","","","","GW","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-8","","0.00","9.00","SILTY SAND with GRAVEL (SM), medium dense, reddish brown (5 YR 4/4), medium to coarse grained SAND, angular GRAVEL up to 2"", low plasticity, WASTE","GP-GC","","","","","","GP-GC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-5","","55.00","56.50"," (3/N), medium plasticity, fine to coarse grained SAND, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","","SB-35","","10.00","15.00","hard, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-43","","10.00","20.00"," loose, brownish yellow (10 YR 6/6), WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-9","","40.00","45.00","hard, greenish gray (GLEY 5/1 10Y), medium plasticity, decomposed MUDSTONE, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-44","","35.00","43.00","SANDY lean CLAY (CL), very stiff, dark yellowish brown (10 YR 4/4), moist, fine SAND, NATIVE","CL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-8","","15.00","20.00","SILTY SAND with GRAVEL (SM), NATIVE","SM","","","","","","SM","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-38","","10.00","15.00","SANDY elastic SILT (MH), hard, pale yellow (5Y 7/4), dry, fine to medium SAND, some chucks of GRAVEL weathered, medium plasticity, cemented, WASTE","MH","","","","","","MH","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-44","","2.50","5.00","medium dense, dark yellowish brown (10 YR 4/6), WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-2","","0.00","5.00","GRAVELLY lean CLAY (CL), light olive brown (2.5 YR 5/4), dry, WASTE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-31","","1.00","5.00","CLAYEY SAND with GRAVEL (SC), light brown, medium dense, dry, medium plasticity, low cementation, WASTE","SC","","","","","","SC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","","SB-9","","80.00","","Terminated @ 80.0 ft bgs because of SPT and coring refusal. GW Monitored with water level and read 32 ft below ground surface bgs. No samples were wet through 32 ft bgs, could be perched ground water. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Soil","SB-1","","45.40","","Terminated @ 45.4 ft bgs because of SPT and coring refusal. GW not encountered. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Soil","SB-39","","0.00","15.00","Sandy elastic SILT (MH), dry, pale brown (10 YR 6/3), WASTE","MH","","","","","","MH","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-13","","25.00","30.00","Stiff, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Soil","SB-42","","31.00","40.00","CLAYEY SAND (SC), gray (GLEY 5/N), very dense, wet, NATIVE","SC","","","","","","SC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-26","","10.00","15.00","dark brown (10 YR 3/3), dry, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","","SB-21","","44.00","","slightly weathered, hard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-39","","30.50","34.00","very dense, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-45","","21.50","25.00","NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-39","","27.00","34.00","Well graded GRAVEL with SAND (GW), wet, NATIVE","GW","","","","","","GW","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-12","","50.00","80.00","SANDY Lean CLAY (CL), very stiff, wet, NATIVE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-38","","0.00","2.50","Poorly graded SAND (SP), loose, light gray (10 YR 7/1), dry, WASTE","SP","","","","","","SP","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-45","","15.00","20.00","Well graded GRAVEL with SAND (GW), medium dense, dark gray (5 Y 4/1), moist, WASTE","GW","","","","","","GW","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-10","","65.00","70.00","Stiff, dark gray to very dark gray, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-15","","10.00","15.00","ANDESITE ROCK, dark gray (2.5 YR 4/1), ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-42","","5.00","7.50","SANDY elastic SILT (MH), hard, very dark brown (10 YR 2/2), dry, trace GRAVEL, WASTE","MH","","","","","","MH","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-13","","10.00","12.00"," GRAVELLY lean CLAY (CL), brown (10 YR 6/4), NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-4","","10.00","23.00","CLAYEY SAND with GRAVEL (SC), medium dense,  yellowish brown (10 YR 4/4), dry, fine to medium SAND, NATIVE","SC","","","","","","SC","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-9","","50.00","60.00"," hard, very dark greenish gray (GLEY 5/5G 1/1), dry, medium plasticity, angular GRAVEL up to 2"", medium cementation, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Rock","SB-37","","30.00","40.00","ANDESITE (BEDROCK), greenish gray, unaltered, some wood chips, BEDROCK","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-7","","61.50","","Terminated @ 61.5 ft bgs because of SPT and coring refusal. GW not encountered. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Soil","SB-45","","0.00","5.00","SANDY lean CLAY (CL), pale brown (2.5 YR 8/4), dry, WASTE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-38","","40.00","60.30","very dark greenish gray (GLEY 1 3/10Y), low FINES, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-43","","5.00","20.00","very dense, light gray (10 YR 7/2), moist, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-46","","15.00","20.00","Well graded GRAVEL with CLAY (GW-GC), medium dense, grayish brown (2.5 YR 5/2), dry to moist, few SAND, NATIVE","GW-GC","","","","","","GW-GC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-18","","20.00","25.00","slightly moist, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-12","","15.00","20.00","GRAVELLY Lean CLAY (CL), very stiff, sedimentary ROCK (MUDSTONE), very dark gray (GLEY 3/N), cemented, NATIVE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-8","","9.00","15.00","SANDY SILT (CL), bluish gray (GLEY 5/5B), damp, fine to coarse SAND, medium plasticity, NATIVE","ML","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-36","","0.00","10.00","Lean CLAY (CL), stiff, light yellowish brown (10 YR 6/4), dry, WASTE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-44","","5.00","7.50","SILTY SAND (SM), medium dense, dark yellowish brown (10 YR 4/4), trace fine GRAVEL, WASTE","SM","","","","","","SM","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","","SB-37","","60.00","","Terminated @ 60.0 ft bgs because of SPT and coring refusal. GW encountered @ 30.4 ft bgs.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Rock","SB-9","","60.00","80.00","SEDIMENTARY ROCK (MUDSTONE) bluish gray (GLEY 5/10B), dry, highly weathered, fine grained, soft, BEDROCK","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-26","","50.00","60.00","slightly weathered, hard, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-6A","","70.00","81.00","SEDIMENTARY ROCK (SANDSTONE), highly weathered, moderately soft, moist, black (GLEY 2.5/N), fractured, BEDROCK","SANDSTONE","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-38","","2.50","10.00","SILTY SAND (SM), medium dense, light gray (10 YR 7/1), low to medium plasticity, some GRAVEL and plant roots, WASTE","SM","","","","","","SM","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-10","","70.00","75.00","Very stiff, dark gray, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-4","","30.00","34.50"," dark yellowish brown (10 YR 4/4), NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-32","","50.00","55.00","CLAYEY SAND (SC), medium dense, yellowish brown (10 YR 5/4), dry to moist, iron oxide, NATIVE","SC","","","","","","SC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-35","","25.00","33.00","Poorly graded SAND (SP), medium dense, gray (2.5 YR 5/1), wet/saturated, uniform, NATIVE","SP","","","","","","SP","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-3","","60.10","","Terminated @ 60.1 ft bgs because of SPT and coring refusal. GW not encountered. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Soil","SB-4","","75.00","","Terminated @ 75.0 ft bgs because of SPT and coring refusal. GW not encountered. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Soil","SB-40","","45.00","47.00","Well graded SAND with GRAVEL (SW), very dense, very dark gray (10 YR 3/1), wet, NATIVE","SW","","","","","","SW","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Rock","SB-43","","25.00","25.80","moderately weathered, moderately hard, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-43","","21.50","22.50","medium to coarse SAND, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-15","","7.50","10.00","Stiff, light olive brown (2.5 YR 5/4), WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-14","","10.00","15.00","bluish gray (GLEY 5/5B), WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-36","","36.00","36.50","Well graded SAND (SW), loose to medium dense, gray (GLEY 6/N), WASTE","SW","","","","","","SW","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-36","","15.00","35.00","CLAYEY GRAVEL (GC), loose, greenish gray (GLEY 6/10Y), wet to saturated, WASTE","GC","","","","","","GC","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-26","","40.00","50.00","IGNEOUS ROCK (ANDESITE), moderately weathered, moderately hard, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-45","","45.00","49.00","wet, moderately weathered, moderately hard, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-18","","50.00","60.00"," slightly weathered, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-34","","15.00","19.00","very stiff, yellowish brown (10 YR 5/4), dry, medium plasticity, medium to coarse grained angular GRAVEL, low cementation, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-12","","20.00","25.00","CLAYEY GRAVEL WITH SAND (GC), medium dense, very dark gray (GLEY 3/N), low plasticity, cemented, NATIVE","GC","","","","","","GC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-36","","10.00","15.00","Poorly graded GRAVEL with CLAY and SAND (GP-GC), medium dense, dark gray (GLEY 4/N), dry, WASTE","GP-GC","","","","","","GP-GC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-44","","40.00","50.00","trace GRAVEL, yellowish brown (10 YR 5/6), lumps of CLAY, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-11","","0.00","2.50","CLAYEY SAND with GRAVEL (SC), loose, light greenish gray (GLEY 1 7/1 10Y), low plasticity, fine to coarse SAND, WASTE ","SC","","","","","Poorly-graded SAND with clay and gravel","SC","","","","","","","","low plasticity","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-19","","20.00","25.00","SILTY SAND (SM), dense, very dark reddish brown (7.5 R 3/2), ANDESITE fragments pulverized, dry, WASTE","SM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-11","","2.50","4.50","Poorly graded GRAVEL with CLAY and SAND (GP), medium dense pinkish gray (5YR 6/2), dry poorly graded, some GRAVEL up to 4"", medium to coarse, WASTE","GP","","","","","Poorly-graded GRAVEL with sand","GP","","","","","","pinkish gray (5 YR 6/2)","dry","","","","","","","","","","","","","","","","","Solid"
"","","Rock","SB-2","","5.00","42.00","highly weathered, moderately hard, light olive brown (2.5 YR 5/4), iron oxide staining, BEDROCK ","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-19","","70.00","80.00","fresh, hard, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-38","","35.00","40.00","dark grayish brown (10 YR 4/2), fragments of broken ANDESITE, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-11","","50.00","55.00","SILT (ML), very stiff, strong brown (7.5 YR 5/6) dry, low plasticity, NATIVE","ML","","","","","Sandy SILT with gravel","ML","","","","","","strong brown (7.5YR 5/6)","dry","low plasticity","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-33","","7.50","10.00","CLAYEY SAND with GRAVEL (SC), pink (7.5 YR 8/4), moist, very dense, some GRAVEL, NATIVE","SC","","","","","","SC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-12","","5.00","15.00","Poorly graded GRAVEL with SAND (GP), medium dense, yellow (2.5 Y 7/6), poorly graded, fragmented broken volcanic ROCKS, angular GRAVEL, WASTE","GP","","","","","","GP","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-10","","100.00","126.40","SEDIMENTARY ROCK (MUDSTONE), highly weathered, soft, reddish brown and gray, few ANDESITE fragments, BEDROCK","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-40","","40.00","45.00","CLAYEY GRAVEL with SAND (GC), medium dense, yellowish brown (10 YR 5/4), GRAVEL: angular ANDESTIC, dark gray (10 YR 3/1), NATIVE","GC","","","","","","GC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-41","","15.00","25.00","CLAYEY GRAVEL with SAND (GC), very dense, dark brown (7.5 YR 3/2), wet, NATIVE","GC","","","","","","GC","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-4","","0.00","5.00","SANDY SILT (ML), Yellowish Red (5 YR 4/6), hard, WASTE","ML","","","","","","ML","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-44","","10.00","12.50","dark yellowish brown (10 YR 4/4), NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-32","","65.00","85.10","IGNEOUS ROCK (ANDESITE), moderately weathered, hard, very dense, dark reddish brown (2.5 YR 2.5/3), wet, BEDROCK","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-39","","50.00","51.10","highly weathered, moderately soft, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-39","","20.00","25.00","very dense, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-25","","49.00","50.00","fresh, very hard, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Soil","SB-11","","55.00","81.50","Lean CLAY with SAND (CL), hard, brown (7.5 YR 5/2), dry, fine to medium SAND, medium plasticity, NATIVE","CL","","","","","Lean CLAY with sand","CL","","","","","","brown (7.5 YR 5/2)","dry","medium plasticity","","","","","","","","","","","","","","","","None"
"","","","SB-23","","50.60","","Terminated @ 50.60 ft bgs because of SPT and coring refusal. GW not encountered. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Soil","SB-13","","20.00","22.00","Very stiff, moist, light gray (5 YR 7/1), NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-34","","19.00","25.00","SANDY SILT (ML) hard, dark gray (10 YR 4/1), wet, medium to high plasticity, fine to medium SAND, low cementation, NATIVE","ML","","","","","","ML","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-5","","4.00","5.00","fine to medium SAND, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-42","","15.00","20.00","very pale brown (10 YR 8/2), wet, iron oxide staining, trace SAND, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-45","","7.50","15.00","Lean CLAY (CL), very stiff, olive yellow (2.5 YR 6/6), dry, few fine SAND, WASTE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","","SB-7","","25.00","30.00"," Lean CLAY with SAND, damp, hard, fine to medium SAND, angular GRAVEL, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-11","","75.00","76.50","(GLEY 6/5G), NATIVE","","","","","","Lean CLAY with gravel","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","","SB-7","","55.00","60.00","very hard, greenish gray (GLEY 6/5BG), medium to high plasticity, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-23","","0.00","10.00","Poorly Graded SAND with GRAVEL (SP), dense, dry light brown and light gray, some weathered ANDESITE gravels, WASTE","SP","","","","","","SP","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-41","","0.00","15.00","GRAVELLY lean CLAY (CL), dark yellowish brown (10 YR 3/6), dry, WASTE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-38","","7.50","10.00","medium dense, brown (7.5 YR 5/2), coarse GRAVEL, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-34","","5.00","8.00","SANDY lean CLAY with GRAVEL, hard, olive (5Y 4/3), dry, medium plasticity, fine to coarse SAND, highly cemented, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-17","","0.00","5.00","Lean CLAY with SAND (CL), black (2.5 Y 8/1) dry, hard, highly cemented, fine to medium grained, medium plasticity, NATIVE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-17","","90.50","","Terminated @ 90.5 ft bgs because of SPT and coring refusal. GW not encountered. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Soil","SB-18","","110.00","","Terminated @ 110 ft bgs because of SPT and coring refusal. GW not encountered. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Soil","SB-12","","45.00","50.00","very stiff, grayish green (GLEY 4/5G 4/1), moist, medium plasticity, < 1"" GRAVEL, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Rock","SB-33","","15.00","20.00","slightly weathered, hard, gray (2.5Y 5/1), BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","","SB-6A","","35.00","45.00","moderately hard, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-19","","55.00","65.00","SANDY Lean CLAY (CL) multicolored but mainly black, hard, medium to coarse SAND, medium to high plasticity, moderate cementation, WASTE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-26","","60.00","70.00"," dark gray, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Rock","SB-38","","60.00","61.50"," black (GLEY 1 2.5Y/N), BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-24","","10.00","61.50","IGENOUS ROCK (ANDESITE), moderately weathered, moderately hard, dry, gray (10 YR 5/1), BEDROCK","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-10","","15.00","20.00","Few fine SAND, reddish brown and gray, moist, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-32","","7.50","10.00"," stiff, weak red (2.5 Y 4/2), medium grained SAND, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-4","","5.00","7.50","Poorly graded GRAVEL with CLAY (GP-GC), yellowish brown (10 YR 5/4), dry, WASTE","GP-GC","","","","","","GP-GC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-16","","7.50","26.50","Lean CLAY (CL), stiff, gray (7.5 YR 6/1), moist, trace fine SAND, NATIVE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-36","","70.00","80.00","IGNEOUS ROCK (ANDESITE), moderately weathered, moderately hard, dark gray to black, fine grained, slightly vesicular, BEDROCK","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-2","","15.00","20.00"," light brownish gray (2.5 YR 6/2), dry, BEDROCK ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-39","","34.00","40.00","SANDY lean CLAY few GRAVEL (CL), soft, wet, few GRAVEL and SAND, very dark greenish gray (GLEY 3/10GY), NATIVE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-41","","30.10","35.00","Poorly Graded SAND with CLAY and some GRAVEL (SP-SC), moist to wet, very dense, dark reddish brown (5 YR 3/4)","SP-SC","","","","","","SP-SC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-41","","13.00","15.00","brown (7.5 YR 4/4), moist, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-21","","0.00","20.00","Poorly graded SAND with GRAVEL (SP), very dense, moist, light brown, some organics, WASTE","SP","","","","","","SP","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","","SB-41","","40.00","","Terminated @ 40.0 ft because of SPT and coring refusal. GW encountered @ 15.5 ft bgs. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-12","","10.00","15.00","Pale brown (2.5 Y 7/3) GRAVEL up to 4"", NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-11","","70.00","75.00","Bluish gray (GLEY 6/5B), NATIVE","","","","","","Lean CLAY with sand","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-40","","25.00","30.10","Well graded SAND with GRAVEL (SW), dense, light yellowish brown (10 YR 6/4), dry to moist, WASTE","SW","","","","","","SW","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-40","","0.00","15.00","SANDY Lean CLAY (CL), very stiff, very pale brown (10 YR 7/3), dry, few GRAVEL, trace, WASTE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-21","","45.25","","Terminated @ 45.25 ft bgs because of SPT and coring refusal. GW not encountered. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Soil","SB-9","","5.00","7.50","Lean CLAY with SAND (CL), stiff, light greenish gray (GLEY 7/5GY), dry, fine to medium SAND, medium plasticity, decomposed MUDSTONE, WASTE","CL","","","","","Gravelly Lean CLAY with sand","CL","","","","","","","dry","medium plasticity","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-26","","2.50","10.00","dark reddish gray, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-18","","70.00","80.00","hard, unaltered, vesicular, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-11","","30.00","41.50","very stiff, gray (10 YR 6/1), dry, fine to coarse sand, medium plasticity, NATIVE","","","","","","Poorly-graded SAND with silt and gravel","SM","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-5","","25.00","30.00","dark grey (5 YR 4/1), GRAVEL up to 0.5"", NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-5","","56.50","60.00"," angular GRAVEL, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-41","","5.00","7.50","hard, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-40","","23.00","25.00","Well graded GRAVEL (GW), angular ANDESITE/BASALT ROCK, with little to some SAND, WASTE","GW","","","","","","GW","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-40","","5.00","10.00","yellowish red (2.5 YR 4/6), stiff, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-41","","10.00","13.00"," dry, brown (7.5 YR 4/3), WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-6A","","2.50","5.00","yellowish red (5 YR 4/6), NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
